max_depth,mean_accuracy,std_accuracy
1,0.6666666666666665,1.1102230246251565e-16
2,0.9333333333333332,0.06110100926607786
3,0.9493333333333331,0.05259488779550938
4,0.9493333333333333,0.05425863986500213
5,0.9426666666666667,0.053349997396646816
6,0.944,0.053929995776417806
8,0.944,0.053929995776417806
10,0.944,0.053929995776417806
None,0.944,0.053929995776417806
