n_estimators,mean_accuracy,std_accuracy
1,0.9506666666666667,0.06226823695378996
5,0.9506666666666667,0.05301572093885609
10,0.9453333333333334,0.060648348882902166
20,0.9453333333333331,0.06209669878504009
50,0.9520000000000001,0.05663136155092079
100,0.9586666666666666,0.05314968380798599
200,0.9560000000000001,0.057519078960327964
500,0.9533333333333333,0.058499762582614134
