k,mean_accuracy,std_accuracy
1,0.9466666666666668,0.0581186525805423
3,0.9493333333333333,0.05896891836665594
5,0.9573333333333334,0.052931821976744536
7,0.9586666666666666,0.053149683807985994
9,0.9546666666666667,0.052391687211702655
11,0.9573333333333334,0.056190153348547926
15,0.9613333333333333,0.05179446559881341
21,0.9533333333333333,0.05033222956847165
